,,,Social media,,Google Trends,,,,,,
Month,Baked Namkeen (Mention Volume),Baked Namkeen Mentions (Social Media Comments/Reviews/App Source),Fried Namkeen (Mention Volume),Fried Namkeen Mentions (Social Media Comments/Reviews/App Source),Baked Namkeen (Relative Interest) ,Fried Namkeen (Relative Interest),,,,,
Feb-25,310,"""Found a new brand of baked namkeen today. It’s so crispy and light! #HealthyVibes"" (Amazon review)",360,"""Can’t get enough of fried namkeen with my evening chai! #ComfortFood"" (Twitter)",98,100,,,,,
Feb-25,315,"""Baked namkeen is my new favorite snack. Perfect for my diet! 🥳 #HealthyEats"" (Blinkit)",365,"""Fried namkeen is a classic. I’ll never stop loving it! 🍽️ #SnackAddict"" (Amazon review)",97,99,,,,,
Feb-25,320,"""I’ve switched to baked namkeen and feel so much better! #HealthyEating #SnackSmart"" (Instagram)",370,"""Can’t stop munching on fried namkeen – my weakness! 😅 #SnackAddict"" (Amazon review)",99,98,,,,,
Feb-25,325,"""Baked namkeen is a great healthy alternative. Love it! 😋 #HealthySnacking"" (Twitter)",375,"""Sometimes, only fried namkeen will do. 🍴 #SnackGoals"" (Blinkit)",98,97,,,,,
Feb-25,330,"""Trying baked namkeen with a cup of tea – perfect match! 🍵 #SnackTime"" (Instagram)",380,"""Nothing beats a crunchy fried namkeen with my evening chai. 🍵 #TeaTime"" (Amazon review)",97,96,,,,,
Feb-25,335,"""Baked namkeen has become my go-to snack for healthier munching! 😋 #SnackSmart #HealthyLiving"" (Instagram)",385,"""The crispiness of fried namkeen is irresistible! Can’t stop snacking. 🤤 #SnackAddict"" (Blinkit)",96,95,,,,,
Feb-25,340,"""Finally found my favorite baked namkeen flavor! 🙌 #HealthySnacks #SnackGoals"" (Amazon review)",390,"""Fried namkeen on a lazy Sunday – it’s just the best! 😎 #WeekendVibes"" (Twitter)",95,94,,,,,
Feb-25,345,"""This baked namkeen is so light and tasty. Guilt-free snack! 🥳 #HealthySnack"" (Instagram)",395,"""Fried namkeen always hits the spot! Can’t resist. 🤤 #SnackAttack"" (Blinkit)",94,0,,,,,
Feb-25,350,"""Love the crunch of baked namkeen. My new favorite snack! 🥰 #HealthyEating"" (Twitter)",400,"""Classic fried namkeen – no snack can replace it. #SnackLover"" (Amazon review)",93,92,,,,,
Feb-25,355,"""I feel so good switching to baked namkeen. Healthy and yummy! 🍃 #SnackTime"" (Blinkit)",405,"""Nothing beats a plate of fried namkeen with tea. #SnackGoals"" (Instagram)",92,91,,,,,
Mar-25,360,"""The baked namkeen I bought is amazing! I can’t stop eating it. 😋 #HealthySnacks"" (Amazon review)",410,"""Always craving fried namkeen. Can’t go wrong with the crispy goodness. 🤤 #SnackAttack"" (Twitter)",91,90,,,,,
Mar-25,365,"""Had baked namkeen with my salad today. So good! #HealthyLiving"" (Instagram)",415,"""Fried namkeen – it’s the ultimate comfort food. Always hits the right spot! #GuiltyPleasure"" (Amazon review)",90,89,,,,,
Mar-25,370,"""Baked namkeen is my new favorite snack. Perfect for my diet! 🥳 #HealthyEats"" (Blinkit)",420,"""I can never get enough of fried namkeen, especially with chai. #SnackLover"" (Instagram)",89,88,,,,,
Mar-25,375,"""Baked namkeen is a great healthy alternative. Love it! 😋 #HealthySnacking"" (Twitter)",425,"""Fried namkeen is a classic. I’ll never stop loving it! 🍽️ #SnackAddict"" (Amazon review)",88,87,,,,,
Mar-25,380,"""Baked namkeen is light, crunchy, and absolutely delicious. #SnackSmart"" (Instagram)",430,"""Sometimes, only fried namkeen will do. 🍴 #SnackGoals"" (Blinkit)",87,86,,,,,
Mar-25,385,"""Loving the baked namkeen with my tea. So satisfying and healthy! 🥰 #HealthyVibes"" (Amazon review)",435,"""Fried namkeen is just unbeatable. Can’t get enough of it. 🤤 #SnackAttack"" (Twitter)",86,85,,,,,
