Date,Company,Source,Keyword Mentioned
2024-06-27,Marico,Press Release,climate neutral
2024-09-24,HUL,Annual Report,recyclable
2024-09-23,P&G,Annual Report,sustainability
2025-03-01,Nestlé,Company Website,climate neutral
2025-01-05,HUL,Press Release,net zero
2024-02-28,HUL,News Report,eco-friendly packaging
2025-04-21,Britannia,Annual Report,climate neutral
2024-05-10,ITC,Press Release,green energy
2025-02-19,Coca-Cola,CSR Report,eco-friendly packaging
2024-05-22,ITC,News Report,sustainability
2024-07-08,Amul,Annual Report,biodegradable
2025-02-15,Unilever,Press Release,net zero
2025-02-17,Amul,CSR Report,ESG goals
2025-03-14,P&G,Company Website,ESG goals
2024-02-02,Nestlé,Annual Report,green energy
2024-12-19,Nestlé,CSR Report,environmentally friendly
2024-04-26,P&G,Company Website,carbon footprint
2025-03-02,Amul,News Report,carbon footprint
2024-08-25,Nestlé,Company Website,environmentally friendly
2024-06-24,PepsiCo,News Report,climate neutral
2024-10-02,Unilever,CSR Report,eco-friendly packaging
2024-07-18,Amul,News Report,sustainability
2024-12-08,Marico,News Report,recyclable
2024-06-19,Amul,Press Release,carbon footprint
2025-03-25,Marico,Press Release,climate neutral
2025-03-05,PepsiCo,Annual Report,climate neutral
2024-12-16,Britannia,News Report,sustainability
2025-04-05,Amul,Press Release,sustainability
2025-02-10,ITC,CSR Report,net zero
2025-03-26,Unilever,News Report,net zero
2024-08-12,ITC,Press Release,recyclable
2025-01-23,P&G,Annual Report,ESG goals
2024-05-17,Marico,News Report,climate neutral
2024-09-12,Unilever,CSR Report,net zero
2025-03-08,HUL,News Report,carbon footprint
2024-05-09,HUL,News Report,environmentally friendly
2025-04-06,HUL,Company Website,carbon footprint
2024-05-12,Unilever,Company Website,green energy
2024-12-11,Amul,Company Website,biodegradable
2025-01-12,Nestlé,News Report,green energy
2025-01-01,Nestlé,Company Website,recyclable
2024-01-02,P&G,Press Release,green energy
2024-08-17,Nestlé,Press Release,biodegradable
2024-09-18,Amul,Company Website,climate neutral
2024-02-29,ITC,CSR Report,green energy
2024-03-25,ITC,Company Website,green energy
2025-01-08,P&G,CSR Report,biodegradable
2024-04-09,Marico,Press Release,sustainability
2024-03-17,HUL,News Report,biodegradable
2024-11-20,Coca-Cola,Press Release,ESG goals
2025-02-24,Unilever,Press Release,green energy
2024-12-24,Britannia,Company Website,environmentally friendly
2024-11-21,Unilever,Annual Report,sustainability
2024-07-16,HUL,CSR Report,environmentally friendly
2024-11-09,P&G,CSR Report,biodegradable
2025-03-20,Amul,News Report,eco-friendly packaging
2025-02-03,Britannia,Annual Report,eco-friendly packaging
2025-03-26,Nestlé,News Report,climate neutral
2025-04-10,HUL,Company Website,sustainability
2025-03-26,Marico,Press Release,green energy
2024-04-04,HUL,Annual Report,recyclable
2024-04-29,Amul,CSR Report,climate neutral
2024-02-27,ITC,Company Website,sustainability
2024-03-30,ITC,Company Website,green energy
2024-12-02,ITC,Company Website,green energy
2024-08-09,Britannia,CSR Report,environmentally friendly
2024-09-23,PepsiCo,Press Release,climate neutral
2024-08-27,P&G,Annual Report,recyclable
2025-02-09,PepsiCo,Annual Report,biodegradable
2024-02-15,Amul,Press Release,climate neutral
2024-06-07,Nestlé,Press Release,green energy
2024-10-30,Unilever,Company Website,ESG goals
2024-09-08,Marico,Press Release,net zero
2024-04-06,Coca-Cola,Annual Report,ESG goals
2024-01-20,Britannia,News Report,carbon footprint
2024-08-02,ITC,Annual Report,biodegradable
2025-02-03,Amul,CSR Report,climate neutral
2025-04-16,Nestlé,News Report,net zero
2024-07-23,Nestlé,CSR Report,eco-friendly packaging
2025-03-06,Amul,Company Website,biodegradable
2025-03-18,P&G,Press Release,sustainability
2024-12-23,ITC,Annual Report,green energy
2024-01-06,Amul,Company Website,climate neutral
2024-04-01,Britannia,CSR Report,recyclable
2024-01-08,HUL,Company Website,recyclable
2024-12-06,ITC,Company Website,sustainability
2024-05-15,Nestlé,News Report,sustainability
2024-01-30,Nestlé,Press Release,green energy
2024-07-09,ITC,News Report,green energy
2025-04-07,Coca-Cola,CSR Report,carbon footprint
2024-03-18,Marico,Annual Report,biodegradable
2025-03-13,Marico,Company Website,green energy
2025-03-03,Marico,Company Website,net zero
2024-08-10,PepsiCo,Company Website,recyclable
2024-12-14,Marico,Press Release,eco-friendly packaging
2024-10-04,Britannia,Company Website,environmentally friendly
2025-02-16,Marico,News Report,climate neutral
2024-03-21,Amul,Company Website,net zero
2024-08-01,Amul,News Report,ESG goals
2024-02-08,ITC,CSR Report,biodegradable
2024-11-03,PepsiCo,CSR Report,carbon footprint
2024-02-01,P&G,Press Release,recyclable
2024-10-28,Marico,Annual Report,sustainability
2025-01-04,Coca-Cola,CSR Report,green energy
2024-05-31,ITC,Annual Report,carbon footprint
