Date,Description,Impact Area,Source Type,Severity,,,,,,,,,
10-05-2024,Deficient monsoon affects yield,Weather / Domestic/Intl,Business News,Medium,,,,,,,,,
17-05-2024,Port closures due to cyclone,Ingredient (Future),News Report,Low,,,,,,,,,
25-05-2024,Port closures due to cyclone,Weather / Domestic/Intl,News Report,Low,,,,,,,,,
06-06-2024,Heatwave impacts flowering,Ingredient,Business News,Medium,,,,,,,,,
06-06-2024,Heatwave impacts flowering,Ingredient (Future),Agriculture News,Low,,,,,,,,,
21-06-2024,Heavy rains disrupt harvest,Weather / Domestic/Intl,Agriculture News,Medium,,,,,,,,,
24-06-2024,Heavy rains disrupt harvest,Weather / Domestic/Intl,Govt. Notification,Low,,,,,,,,,
25-06-2024,Futures prices surge,Ingredient (Future),Agriculture News,Low,,,,,,,,,
25-06-2024,Winter frost damages crops,Ingredient,News Report,Low,,,,,,,,,
27-06-2024,Government announces subsidy,Weather / Domestic,Govt. Notification,Low,,,,,,,,,
30-06-2024,Cyclone disrupts logistics,Weather / Domestic/Intl,Agriculture News,Low,,,,,,,,,
14-07-2024,Government announces subsidy,Ingredient (Future),Business News,Medium,,,,,,,,,
20-07-2024,Port closures due to cyclone,Ingredient (Future),Govt. Notification,Low,,,,,,,,,
26-07-2024,Futures prices surge,Ingredient (Future),Agriculture News,Low,,,,,,,,,
30-07-2024,Heavy rains disrupt harvest,Weather / Domestic/Intl,Business News,Medium,,,,,,,,,
10-08-2024,Government restricts exports,Weather / Domestic/Intl,News Report,Low,,,,,,,,,
16-08-2024,Port closures due to cyclone,Ingredient (Future),Agriculture News,High,,,,,,,,,
29-08-2024,Port closures due to cyclone,Weather / Domestic,Agriculture News,High,,,,,,,,,
19-09-2024,Futures prices surge,Ingredient,Business News,Low,,,,,,,,,
02-10-2024,Pest infestation raises concerns,Ingredient (Future),Govt. Notification,High,,,,,,,,,
03-10-2024,Export duty imposed to curb prices,Regulatory / Sentiment,News Report,High,,,,,,,,,
05-10-2024,Government restricts exports,Ingredient,News Report,Low,,,,,,,,,
08-10-2024,Global shortages push costs higher,Weather / Domestic/Intl,Business News,Low,,,,,,,,,
15-10-2024,Global prices rise due to supply cuts,Ingredient (Future),News Report,Low,,,,,,,,,
18-10-2024,Global prices rise due to supply cuts,Weather / Domestic,Agriculture News,Low,,,,,,,,,
03-11-2024,Futures prices surge,Regulatory / Sentiment,Business News,Low,,,,,,,,,
08-11-2024,Heatwave impacts flowering,Weather / Domestic,Agriculture News,Low,,,,,,,,,
19-11-2024,Futures prices surge,Weather / Domestic/Intl,Agriculture News,Low,,,,,,,,,
