Influencer/Media,Platform,Followers/Subscribers,Focus Areas,Tone on Haldiram/Indian Snacks,Estimated Influence
Kunal Kapur,YouTube/Instagram,"1M+ YT, 900K+ Insta",Traditional Indian recipes/snacks,Positive,High
Hebbars Kitchen,YouTube/Website,"6M+ YT, high blog traffic",Home-style Indian snacks,Informative/Positive,High
Your Food Lab,YouTube/Instagram,"3M+ YT, 2M+ Insta",Fusion Indian snacks & sweets,Enthusiastic/Modern,High
The Food Ranger,YouTube,5.9M+,Indian street food & snacks globally,Very positive,High
Pooja Dhingra,Instagram,7M+,Pastry & Baking,Occasionally Indian sweets,High
Shipra Khanna,Instagram,6.2M+,Indian Cuisine,Covers Indian traditional sweets,High
Vikas Khanna,Instagram,5.3M+,Indian Cuisine,Endorses Indian culinary culture,High
Ranveer Brar,Instagram,4.3M+,Indian Cuisine,Frequently mentions snacks/sweets,High
Amar Sirohi,Instagram,1.4M+,Food Blogging,Street food & Haldiram-style snacks,High
Sanjeev Kapoor,Instagram,N/A,Indian Cuisine,Legacy influence on traditional sweets,High
Saransh Goila,Instagram,N/A,Indian Cuisine,Promotes Indian snacks globally,High
Gaurav Wasan,Instagram,N/A,Food Blogging,Brings visibility to local snack vendors,High
Tarla Dalal,Website,N/A,Indian Recipes,Legacy sweets/snacks content,High
Nisha Madhulika,Youtube,13.9M,Indian Recipes,Positive,High
Varun Dhawan,Televesion,46.6M,Celebrity Endorsements,Aspirational and Relatable,High
Suresh Chavhanke,Twitter,N/A,Political Commentary,Confrontational and Accusatory,High
Komal Pandey,Instagram,1.8M,Endorsements,Trendy/Entertaining,High
Kritika Khurana,Instagram,1.2M,Endorsements,Positive,High
Divya Batra (Haldiram's),LinkedIn,N/A,Marketing,Positive,High
Kailash Agarwal (Haldiram's),LinkedIn,N/A,"Retail, QSR",Positive,High
Pooja Dhingra,Instagram,700K+,Modern/Western fusion,Occasionally Indian sweets,Low-Medium
Home Chef Influencers,YouTube/Instagram,10K�300K,Recipes using Haldiram,Positive,Low-Medium
The Glutton & The Owl,Blogger,150K+,Nostalgic Indian food content,Haldiram snack reviews,Low-Medium
The Better India (Food),News/Website,2M+ website visits/month,Heritage & sustainable Indian brands,Positive,Medium
Food Talk India,Instagram/Website,1M+ Insta,Branded Indian snacks & sweets,Promotional,Medium
NDTV Food,Website/YouTube,Large web audience,"Indian food news, recipes",Neutral-Positive,Medium
Zomato,App/Website,Millions of users,Customer reviews for packaged food outlets,Mixed,Medium
EatTreat,Instagram/YouTube,500K+,Quick snack hacks and Indian sweets,"Fun, Youthful",Medium
Foodie We,Instagram,1.1M+,"Quick food reviews, snacks, and sweets",Positive,Medium
HungryJinto,Instagram,600K+,Regional snacks and sweets,Positive visuals,Medium
Bhooka Saand,Instagram/YouTube,800K+,North Indian snack reviews,Often features Haldiram,Medium
RJ Rohan,YouTube/Instagram,750K+,Indian snack tastings,"Positive, humorous",Medium
India Eat Mania,Instagram/Facebook,500K+,"Street food, packaged snacks",Positive-neutral,Medium
Pinkvilla Tasty,Media,1M+ reach,Fusion and festive sweets/snacks,Covers Haldiram seasonally,Medium
NDTV Swirlster,Website,Organic traffic,"Product launches, sweets/snacks",Informative,Medium
Desi Foodies,Facebook/Instagram,1M+ FB,"Traditional food, nostalgia",Positive,Medium
MouthShut.com,Review Site,1M+ monthly users,Consumer snack reviews,Mixed,Medium
MagicPin Blog,Retail Discovery App,2M+ users,"Snack ratings, FMCG",Mostly positive,Medium
The Great Indian Foodie,Instagram,700K+,Street food and snacks,Highlights Haldiram,Medium
Shivesh Bhatia,Instagram,3.4M+,Baking & Desserts,"Fusion desserts, festive sweets",Medium
Meghna,Instagram,N/A,Indian Recipes,Home-style sweets & snacks,Medium
Eshaan Nagpal,Instagram,N/A,Food Blogging,Covers packaged snacks,Medium
Pankaj Bhadouria,Instagram,N/A,Indian Cuisine,Occasionally features traditional sweets,Medium
Chahat Anand,Instagram,N/A,Food Blogging,Regional snacks content,Medium
Aman Sureka,Instagram,N/A,Food Blogging,Covers diverse snack brands,Medium
Neha Deepak Shah,Instagram,N/A,Indian Recipes,Home-cooked sweets/snack items,Medium
Kabita Singh,YouTube,N/A,Indian Recipes,Simple Indian snack recipes,Medium
Rohit Mavle,Instagram,N/A,Food Blogging,Popular for quick snack reviews,Medium
Uma Raghuraman,Instagram,N/A,Indian Recipes,Known for sweets/snacks recipes,Medium
Shashikala Chaurasiya,Instagram,N/A,Food Blogging,Promotes traditional snack items,Medium
Mehul Hingu,Instagram,N/A,Food Blogging,Known for snack tastings,Medium
Aarti Madan,Instagram,N/A,Indian Recipes,Quick sweet/snack recipes,Medium
Sanjyot Keer,Instagram,3.4M,Modern Indian Recipes,Positive,Medium
Shivani Thakur,Sudharshan News,N/A,On-Ground Reporting,Aggresssive,Medium
Anushree Jain,Instagram,N/A,Food Blogging,Informative,Medium
Lexi Wardell,Instagram,N/A,Food Blogging,Enthusiastic,Medium
Shefali,Instagram,N/A,Food Blogging,Authentic,Medium
Manjot Marwah,Instagram,N/A,Food/Travel,Enthusiastic,Medium
Ritik Chaturvedi,Instagram,N/A,Food Reviews,Informative,Medium
Aspire Digital Media,"Facebook, Instagram",N/A,Digital Marketing,Positive,Medium
Nikita Varma,Instagram,~150K,"Food,Lifestyle",Positive,Medium
Nikita Varma,Instagram,~150K,"Food, Lifestyle",Positive,Medium
Mr. Ranawat,Instagram,~100K,"Food, Lifestyle",Positive,Medium
Shivangi Goel,Instagram,~120K,"Food, Lifestyle",Positive,Medium
Rasha Thadani,Instagram,3M,"Fashion, Lifestyle",Positive,Medium
Vedang Raina,Instagram,761K,"Acting, Lifestyle",Positive,Medium
Option Designs,Instagram,N/A,Marketing Agency,Positive,Medium
Zingy Zest,Instagram,750K+,Street food/snacks,Trendy/Entertaining,Medium-High
Kartik Aaryan,Instagram,30M,"Acting, Lifestyle",Positive,Very High
Kriti Sanon,Instagram,50M,"Acting, Lifestyle",Positive,Very High
