,,,,,,,,,
,,,,,,,,,
Date,Company,Activity Type,Description,Location,Sentiment,Category,App Ranking,Cities Expanded,Additional Notes
1/4/2025,Blinkit,News Mention,Blinkit introduces 30-minute delivery for snacks in Delhi,Delhi,Positive,Snack,N/A,N/A,Huge consumer interest in faster delivery
3/4/2025,Zepto,Service Expansion,Zepto expands snack offerings in Mumbai,Mumbai,Positive,Snack,N/A,Mumbai,"Expanding range of chips, chocolates"
4/4/2025,Instamart,App Store Ranking,Instamart ranks #1 in food delivery in India,India-wide,Positive,Mixed,#1,N/A,Strong competition with Blinkit
6/4/2025,Blinkit,Service Expansion,Blinkit expands to 5 more cities with emphasis on grocery items,"Pune, Kolkata",Positive,Grocery,N/A,"Pune, Kolkata",Targeting mid-size cities
7/4/2025,Zepto,App Store Ranking,Zepto sees a rise to #3 in the grocery section on Play Store,India-wide,Positive,Grocery,#3,N/A,New snack options added
9/4/2025,Instamart,News Mention,Instamart introduces healthy snacks in Delhi,Delhi,Positive,Snack,N/A,N/A,Health-conscious trends gaining traction
11/4/2025,Blinkit,Service Expansion,Blinkit launches quick snacks delivery in Bangalore,Bangalore,Positive,Snack,N/A,Bangalore,Focus on on-demand snacks
14/4/2025,Zepto,News Mention,Zepto partners with local vendors for snacks in Kolkata,Kolkata,Neutral,Snack,N/A,N/A,Expanding vendor partnerships
16/4/2025,Instamart,Service Expansion,Instamart expands to Jaipur with focus on snack delivery,Jaipur,Positive,Snack,N/A,Jaipur,Expanding to new cities
18/4/2025,Blinkit,App Store Ranking,Blinkit ranks #2 in grocery delivery in India,India-wide,Positive,Grocery,#2,N/A,Gaining market share in grocery delivery
20/4/2025,Zepto,Service Expansion,Zepto introduces faster snack delivery in Delhi,Delhi,Positive,Snack,N/A,Delhi,Focus on reducing delivery times
21/4/2025,Instamart,News Mention,Instamart raises $15M to improve snack delivery in India,India-wide,Positive,Snack,N/A,N/A,Fundraising to expand offerings
22/4/2025,Blinkit,App Store Ranking,Blinkit ranks #4 in the grocery app category,India-wide,Neutral,Grocery,#4,N/A,Slight drop in rankings
23/4/2025,Zepto,News Mention,Zepto introduces new gourmet snack options in Bangalore,Bangalore,Positive,Snack,N/A,N/A,Gourmet snacks gaining popularity
24/4/2025,Instamart,Service Expansion,Instamart expands snack offerings in Chennai,Chennai,Positive,Snack,N/A,Chennai,Local snacks added to catalog
25/4/2025,Blinkit,News Mention,Blinkit plans to expand grocery and snack delivery to tier-2 cities,Tier-2 Cities,Positive,Mixed,N/A,Tier-2 Cities,New cities to be covered in expansion
26/4/2025,Zepto,App Store Ranking,Zepto ranks #5 in the snack delivery category,India-wide,Neutral,Snack,#5,N/A,Small dip in snack-focused rankings
28/4/2025,Instamart,Service Expansion,Instamart launches snack delivery in Hyderabad,Hyderabad,Positive,Snack,N/A,Hyderabad,Expanding to South India
29/4/2025,Blinkit,News Mention,Blinkit collaborates with top brands for premium snacks,India-wide,Positive,Snack,N/A,N/A,Premium snacks boost brand recognition
1/5/2025,Zepto,Service Expansion,Zepto expands to Chennai with a focus on snack delivery,Chennai,Positive,Snack,N/A,Chennai,Expanding to more cities
2/5/2025,Instamart,App Store Ranking,Instamart ranks #6 in grocery app downloads in India,India-wide,Positive,Grocery,#6,N/A,Steady climb in grocery delivery ranks
3/5/2025,Blinkit,News Mention,Blinkit launches 15-minute snack delivery in Mumbai,Mumbai,Positive,Snack,N/A,Mumbai,Focus on speed delivery
4/5/2025,Zepto,App Store Ranking,Zepto ranks #2 in the grocery app category,India-wide,Positive,Grocery,#2,N/A,Consistently high ranking
5/5/2025,Instamart,Service Expansion,Instamart launches snack delivery to Lucknow,Lucknow,Positive,Snack,N/A,Lucknow,Focus on expanding regional presence
6/5/2025,Blinkit,News Mention,Blinkit launches new snack packs in collaboration with Nestle,India-wide,Positive,Snack,N/A,N/A,New snack offerings in collaboration
7/5/2025,Zepto,Service Expansion,Zepto launches express delivery of snacks in Delhi,Delhi,Positive,Snack,N/A,Delhi,Focus on speed and convenience
8/5/2025,Instamart,News Mention,Instamart announces partnership with local snack producers,India-wide,Positive,Snack,N/A,N/A,Boosting local supply chain
9/5/2025,Blinkit,Service Expansion,Blinkit adds snack bundles to its delivery lineup,Multiple Cities,Positive,Snack,N/A,Multiple Cities,New snack product bundles
10/5/2025,Zepto,App Store Ranking,Zepto sees significant growth in the snack category,India-wide,Positive,Snack,#4,N/A,Positive trend in snack segment
11/5/2025,Instamart,Service Expansion,Instamart launches snack bundles for health-conscious buyers,India-wide,Positive,Snack,N/A,N/A,Focus on health-oriented snacks
12/5/2025,Blinkit,News Mention,Blinkit receives $10M funding for expanding snack offerings,India-wide,Positive,Snack,N/A,N/A,Fundraising to scale operations
13/5/2025,Zepto,Service Expansion,Zepto expands snack delivery to smaller towns,Small Towns,Positive,Snack,N/A,Small Towns,Exploring rural market
14/5/2025,Instamart,App Store Ranking,Instamart climbs to #3 in the snack delivery category,India-wide,Positive,Snack,#3,N/A,Strong growth in snack-focused category
15/5/2025,Blinkit,News Mention,Blinkit introduces low-calorie snack options,India-wide,Positive,Snack,N/A,N/A,Catering to health-conscious consumers
16/5/2025,Zepto,Service Expansion,Zepto adds snack delivery in 10 new cities,Multiple Cities,Positive,Snack,N/A,Multiple Cities,Expansion to new cities
17/5/2025,Instamart,News Mention,Instamart introduces combo snack packs for office goers,India-wide,Positive,Snack,N/A,N/A,Targeting office workers
